规格名称,仓库类型,合计数量,到仓位数量
HGS100578,金融仓,55.0,55.0
HGS10078,常规仓,12.0,2.0
HGS10078,金融仓,12.0,10.0
HGY100-F376U1,常规仓,1.0,1.0
HGY100F98U1,金融仓,25.0,25.0
HGY120-F86TU1,常规仓,1.0,1.0
HJ-C503,常规仓,2.0,2.0
HJ-F701,常规仓,4.0,4.0
HJ-T603,常规仓,4.0,4.0
HJ-T901,常规仓,8.0,8.0
HJ-T912,常规仓,2.0,2.0
HJ3Q-A1U5(甲醛空气检测仪),常规仓,2.0,2.0
HJH-PM01净界,常规仓,12.0,12.0
HJH-RF01,常规仓,20.0,20.0
HJH-U1,常规仓,2.0,2.0
HJH-nano,常规仓,31.0,31.0
HKC2000-R880D2U1(LP),常规仓,5.0,5.0
HKC3000-R886D2U1,金融仓,2.0,2.0
HKC600-RFB17A3U1,金融仓,14.0,14.0
HLE-S251S,常规仓,4.0,4.0
HLJQ-01,常规仓,1.0,1.0
HMB-015A/B总成,常规仓,1.0,1.0
HMB-015N/TB(S),常规仓,40.0,40.0
HMB-01A/TB,常规仓,7.0,7.0
HMB-01N/T,常规仓,2.0,2.0
HMB-01N/TB,常规仓,1.0,1.0
HMB-01N/TB(S),常规仓,5.0,5.0
HMB-01N/TC(S),常规仓,1.0,1.0
HMB-05Q/TC,常规仓,10.0,10.0
HMB-05Q/TD,常规仓,1.0,1.0
HMB-05Q/TE(N),常规仓,1.0,1.0
HNY-1521A,常规仓,3.0,3.0
HPB-015N/TB(S),常规仓,12.0,12.0
HPB-01A/FAA22S,常规仓,4.0,4.0
HPB-01N/TB(S),常规仓,2.0,2.0
HPB-01N/TB(ST),常规仓,4.0,4.0
HPB-02N/TB(ST),常规仓,3.0,3.0
HPB-05Q/YE,常规仓,6.0,6.0
HPB-05Q/YG,常规仓,6.0,6.0
HPB-05Q/YH,常规仓,58.0,58.0
HPB-05Q/YU,常规仓,15.0,15.0
HPB-H01,常规仓,9.0,9.0
HPP-11K-JM02,常规仓,15.0,15.0
HQY-A319LU1,常规仓,1.0,1.0
HRC-I44XB,常规仓,1.0,1.0
HRO-1812-100K-JM01,常规仓,5.0,5.0
HRO1000CVH7-U1,金融仓,22.0,22.0
HRO400-4(C)滤芯礼包,常规仓,10.0,10.0
HRS-1T白色,常规仓,1.0,1.0
HS-D3,常规仓,1.0,1.0
HSL3A040B,常规仓,4.0,4.0
HSNF-300A1,常规仓,2.0,2.0
HSW-GX6(D),常规仓,2.0,2.0
HUDF-11K-JM02,常规仓,11.0,11.0
HW15-06BK,常规仓,1.0,1.0
HWY14-186BKU1,常规仓,1.0,1.0
HWY15-B266BEU1,常规仓,2.0,2.0
HY-01语音,常规仓,2.0,2.0
HYR-E60AC,常规仓,1.0,1.0
HYR-E60AC(D),常规仓,65.0,65.0
HYR-E60AC(D)商用,常规仓,1.0,1.0
HYR-H10总成(7档送风),常规仓,48.0,48.0
J7-Pro,常规仓,1.0,1.0
JC-380WGCHSD1U1,金融仓,2.0,2.0
JC-450GCHSD1U1,金融仓,10.0,10.0
JC-93GHUD1,常规仓,5.0,5.0
JH69U1(博卡灰),常规仓,8.0,8.0
JJS-901X1,常规仓,1.0,1.0
JQB80-M296,常规仓,5.0,5.0
JSG31-16CUSFXPGU1,常规仓,1.0,1.0
JSLQ27-16CGREEN3U1,常规仓,9.0,9.0
JSLQ27-16EC3DLTCU1,常规仓,1.0,1.0
JSLQ27-16ECO(12T)U1,常规仓,15.0,15.0
JSLQ27-16ECO-R3U1,常规仓,4.0,4.0
JSLQ27-16ER3DLTCU1,常规仓,1.0,1.0
JSQ23-12T9,常规仓,1.0,1.0
JSQ24-12LD1S(12T),常规仓,10.0,10.0
JSQ25-13CV1GU1,金融仓,5.0,5.0
JSQ25-13KLAU1,常规仓,18.0,18.0
JSQ30-16TK3BDU1,常规仓,2.0,2.0
JSQ31-16CH5UWU1,常规仓,2.0,2.0
JSQ31-16CJ3FXJCU1,常规仓,34.0,34.0
JSQ31-16CR5SPROU1(LPJ),常规仓,1.0,1.0
JSQ31-16CRV7FRVGU1,常规仓,2.0,2.0
JSQ31-16CT5UVU1,常规仓,2.0,2.0
JSQ31-16FET5FRTXGU1,常规仓,1.0,1.0
JSQ31-16KLAU1,常规仓,10.0,10.0
JSQ34-18MAXBDU1,常规仓,1.0,1.0
JZT-C5G78FGU9,常规仓,1.0,1.0
JZT-C7G90AGU1(12T),常规仓,1.0,1.0
JZT-CG18D2(12T),常规仓,5.0,5.0
JZT-Q23M(12T),金融仓,20.0,20.0
JZT-Q2BE51(12T),常规仓,14.0,1.0
JZT-Q2BE51(12T),顺丰仓,14.0,13.0
JZT-Q2BE52(12T),顺丰仓,25.0,25.0
JZT-QG91(12T),常规仓,1.0,1.0
JZT-QHA9331(12T),常规仓,1.0,1.0
K100M50,金融仓,4.0,4.0
K65M60,金融仓,8.0,8.0
K75E19,常规仓,1.0,1.0
K75M60,金融仓,10.0,10.0
K85M30,金融仓,2.0,2.0
K85M60,金融仓,4.0,4.0
KD40/150-TE,常规仓,3.0,3.0
KF-26G/EBA13内机,常规仓,1.0,1.0
KF-26G/MCA75室内机,常规仓,8.0,8.0
KF-26W/1013外机,常规仓,1.0,1.0
KF-26W/2075室外机,常规仓,7.0,7.0
KF-35G/MCA75室内机,常规仓,9.0,9.0
KF-35N/EHK21PU1室内机,常规仓,1.0,1.0
KF-35W/2075室外机,常规仓,13.0,13.0
KF-35W/7721室外机,常规仓,1.0,1.0
KF110/300-AFE7(W)外机,常规仓,2.0,2.0
KF110/300-AFE7U1,金融仓,25.0,25.0
KF110/300-AFE7U1(N)内机,常规仓,2.0,2.0
KF110/300-ME(外机),常规仓,2.0,2.0
KF110/300-ME-U1(内机),常规仓,3.0,3.0
KF200-LF7(W)室外机,常规仓,5.0,5.0
KF70/200-FE7CU1(内机),常规仓,1.0,1.0
KF70/200-FE7K(外机),常规仓,5.0,5.0
KF70/200-FE7KU1(内机),常规仓,2.0,2.0
KF71-F7(W)(室外机),常规仓,2.0,2.0
KF71/200-AFE7U1,金融仓,22.0,22.0
KF71/200-AFE7U1(N)内机,常规仓,1.0,1.0
KF75/200-AE7(外机),常规仓,11.0,11.0
KF75/200-AE7CU1(LP)(内机),常规仓,2.0,2.0
KF75/200-AE7U1,金融仓,5.0,5.0
KF75/200-AE7U1(内机),常规仓,12.0,12.0
KF75/200-NE7(外机),常规仓,11.0,11.0
KF75/200-NE7-U1,金融仓,130.0,130.0
KF75/200-NE7-U1(内机),常规仓,13.0,13.0
KFR-22G/PAA81U1室内机,常规仓,17.0,17.0
KFR-22W/0181室外机,常规仓,16.0,16.0
KFR-26G/EDS83室内机,常规仓,1.0,1.0
KFR-26G/KBB83U1室内机,常规仓,9.0,9.0
KFR-26G/KHA81U1室内机,常规仓,14.0,14.0
KFR-26G/KPB81U1室内机,常规仓,1.0,1.0
KFR-26G/LA1-1室内机,常规仓,6.0,6.0
KFR-26G/MCC83室内机,常规仓,4.0,4.0
KFR-26G/XBA81TU1室内机,常规仓,4.0,4.0
KFR-26GW/A1MCB83U1套机,金融仓,48.0,48.0
KFR-26GW/B0MCA81套机,金融仓,23.0,23.0
KFR-26GW/B3KHA81U1套机,金融仓,35.0,35.0
KFR-26W/0283室外机,常规仓,8.0,8.0
KFR-26W/0583T室外机,常规仓,2.0,2.0
KFR-26W/0583室外机,常规仓,1.0,1.0
KFR-26W/0681T室外机,常规仓,6.0,6.0
KFR-26W/2083室外机,常规仓,2.0,2.0
KFR-26W/30-1L室外机,常规仓,8.0,8.0
KFR-26W/A083室外机,常规仓,4.0,4.0
KFR-26W/B181室外机,常规仓,1.0,1.0
KFR-26W/B181室外机总成,常规仓,47.0,47.0
KFR-26W/B381室外机,常规仓,14.0,14.0
KFR-26W/C2-1室外机,常规仓,1.0,1.0
KFR-32N/FAA22S室内机,常规仓,4.0,4.0
KFR-32W/0122S室外机,常规仓,4.0,4.0
KFR-35G/B700-1室内机,常规仓,12.0,12.0
KFR-35G/BDA81U1(白）室内机总成,常规仓,2.0,2.0
KFR-35G/BDA83U1室内机总成,顺丰仓,1.0,1.0
KFR-35G/CAB-1室内机,常规仓,29.0,29.0
KFR-35G/CAB81U1室内机,常规仓,4.0,4.0
KFR-35G/E1-1Plus室内机,常规仓,3.0,3.0
KFR-35G/E1-1室内机,常规仓,1.0,1.0
KFR-35G/ETB81TVU1室内机,常规仓,1.0,1.0
KFR-35G/HTK81TU1室内机,常规仓,1.0,1.0
KFR-35G/KBB81U1室内机,常规仓,13.0,13.0
KFR-35G/KBB83U1室内机,常规仓,3.0,3.0
KFR-35G/KEA81U1(羊脂玉)室内机总成,常规仓,1.0,1.0
KFR-35G/KHA81U1室内机,常规仓,50.0,50.0
KFR-35G/KHA81室内机,常规仓,3.0,3.0
KFR-35G/KJA81U1室内机,常规仓,1.0,1.0
KFR-35G/KTA81U1室内机,常规仓,1.0,1.0
KFR-35G/LGA81U1室内机,常规仓,30.0,30.0
KFR-35G/LKG81TU1室内机,常规仓,4.0,4.0
KFR-35G/MCA83室内机,常规仓,2.0,2.0
KFR-35G/MCB81U1室内机,常规仓,1.0,1.0
KFR-35G/MCC83室内机,常规仓,15.0,15.0
KFR-35G/MTA81TU1(金)室内机,常规仓,1.0,1.0
KFR-35G/MUC81TU1室内机,常规仓,2.0,2.0
KFR-35G/TCA83U1室内机总成,常规仓,9.0,9.0
KFR-35G/XBA83TU1室内机,常规仓,2.0,2.0
KFR-35G/XCA83TU1室内机总成,常规仓,1.0,1.0
KFR-35G/Z500-1Pro室内机,常规仓,17.0,17.0
KFR-35G/Z500-1室内机,常规仓,9.0,9.0
KFR-35W/01B81外机,常规仓,2.0,2.0
KFR-35W/0281T室外机,常规仓,2.0,2.0
KFR-35W/0283室外机,常规仓,3.0,3.0
KFR-35W/0581室外机,常规仓,7.0,7.0
KFR-35W/0583室外机总成A,常规仓,5.0,5.0
KFR-35W/0681室外机,常规仓,13.0,13.0
KFR-35W/0682室外机,常规仓,11.0,11.0
KFR-35W/0683T室外机,常规仓,1.0,1.0
KFR-35W/0683室外机总成,顺丰仓,1.0,1.0
KFR-35W/0781T室外机,常规仓,1.0,1.0
KFR-35W/0981T室外机,常规仓,1.0,1.0
KFR-35W/2081室外机,常规仓,1.0,1.0
KFR-35W/20C83室外机,常规仓,8.0,8.0
KFR-35W/30-1L室外机,常规仓,3.0,3.0
KFR-35W/A3-1室外机,常规仓,1.0,1.0
KFR-35W/B181室外机,常规仓,14.0,13.0
KFR-35W/B181室外机,顺丰仓,14.0,1.0
KFR-35W/B181室外机总成,常规仓,185.0,185.0
KFR-35W/B381室外机,常规仓,51.0,51.0
KFR-35W/C1-1室外机,常规仓,9.0,9.0
KFR-35W/C2-1室外机,常规仓,1.0,1.0
KFR-35W/C281室外机,常规仓,33.0,33.0
KFR-35W/C4-1室外机,常规仓,29.0,29.0
KFR-35W/D2-1室外机,常规仓,17.0,17.0
KFR-35W/D3-1室外机,常规仓,12.0,12.0
KFR-48G/E1-1室内机,常规仓,2.0,2.0
KFR-48G/MDA81TU1室内机,常规仓,2.0,2.0
KFR-48W/1881T室外机,常规仓,4.0,4.0
KFR-48W/A1-1室外机,常规仓,3.0,3.0
KFR-50G/GAB81U1室内机,常规仓,4.0,4.0
KFR-50G/HDA82U1室内机,常规仓,1.0,1.0
KFR-50G/HDA83U1室内机,常规仓,1.0,1.0
KFR-50G/HTA83TU1室内机,常规仓,1.0,1.0
KFR-50G/KEA81U1室内机总成,常规仓,9.0,9.0
KFR-50G/MDA81TU1内机,常规仓,1.0,1.0
KFR-50G/PAA81U1室内机总成,常规仓,18.0,18.0
KFR-50G/Z500-1室内机,常规仓,10.0,10.0
KFR-50GW/18MEA81U1套机,金融仓,4.0,4.0
KFR-50GW/24PAA81U1套机,金融仓,95.0,95.0
KFR-50L/FBB81U1室内机,常规仓,1.0,1.0
KFR-50L/LAA81U1室内机,常规仓,1.0,1.0
KFR-50L/WBB21ATU1室内机,常规仓,1.0,1.0
KFR-50L/WDB81TU1室内机总成,常规仓,2.0,2.0
KFR-50W/0181T室外机总成,常规仓,2.0,2.0
KFR-50W/1281室外机,常规仓,1.0,1.0
KFR-50W/1721A室外机,常规仓,1.0,1.0
KFR-50W/1982室外机,常规仓,1.0,1.0
KFR-50W/1983T室外机,常规仓,1.0,1.0
KFR-50W/1983室外机,常规仓,1.0,1.0
KFR-50W/2281室外机总成,常规仓,8.0,8.0
KFR-50W/2481室外机总成,常规仓,17.0,17.0
KFR-50W/A1-1室外机,常规仓,10.0,10.0
KFR-50W/A481室外机,常规仓,4.0,4.0
KFR-50W/A581室外机,常规仓,1.0,1.0
KFR-72G/KEA81U1室内机总成,常规仓,22.0,22.0
KFR-72G/MDA83TU1室内机总成,常规仓,10.0,10.0
KFR-72G/MEA81U1室内机总成,常规仓,25.0,25.0
KFR-72G/PAA81U1室内机,常规仓,23.0,23.0
KFR-72L/83@T-Xc室内机总成,常规仓,2.0,2.0
KFR-72L/B700-1室内机,常规仓,7.0,7.0
KFR-72L/DNA81U1(冰雪白)室内机总成,常规仓,13.0,13.0
KFR-72L/EAJ12(通信)室内机,常规仓,1.0,1.0
KFR-72L/FBB81U1室内机,常规仓,5.0,5.0
KFR-72L/KCA81U1(冰雪白)室内机,常规仓,19.0,19.0
KFR-72L/KCA83U1室内机,常规仓,5.0,5.0
KFR-72L/LPA1-1室内机,常规仓,1.0,1.0
KFR-72L/NTA83T室内机,常规仓,1.0,1.0
KFR-72L/PGC83室内机总成,常规仓,1.0,1.0
KFR-72L/VEA81TU1室内机总成,常规仓,1.0,1.0
KFR-72L/WDB81TU1室内机,常规仓,2.0,2.0
KFR-72L/XDB82U1室内机,常规仓,18.0,18.0
KFR-72L/XDD83室内机,常规仓,1.0,1.0
KFR-72LW/02XDD82U1套机,金融仓,46.0,46.0
KFR-72W/0181T室外机总成,常规仓,2.0,2.0
KFR-72W/0183T室外机,常规仓,1.0,1.0
KFR-72W/0283室外机,常规仓,5.0,5.0
KFR-72W/0382室外机,常规仓,18.0,18.0
KFR-72W/0681T室外机,常规仓,1.0,1.0
KFR-72W/0681室外机总成,常规仓,1.0,1.0
KFR-72W/0781室外机,常规仓,5.0,5.0
KFR-72W/1881室外机总成,常规仓,22.0,22.0
KFR-72W/1883T室外机总成,常规仓,5.0,5.0
KFR-72W/1921AT室外机,常规仓,1.0,1.0
KFR-72W/2281室外机总成,常规仓,20.0,20.0
KFR-72W/2481室外机,常规仓,23.0,23.0
KFR-72W/2881室外机,常规仓,30.0,30.0
KFR-72W/7112(通信)室外机,常规仓,1.0,1.0
KFR-72W/A581室外机,常规仓,6.0,6.0
KFR-72W/B8-1室外机,常规仓,7.0,7.0
KFR70-31W/DE5室外机,常规仓,1.0,1.0
KFRD-35WKE外机,常规仓,2.0,2.0
KFRD-35WLE1室外机,常规仓,7.0,7.0
KFRD-36W/6122室外机,常规仓,2.0,2.0
KFRD-50N/EE81室内机,常规仓,10.0,10.0
KFRD-50W/7481室外机,常规仓,10.0,10.0
KFRD-72N/DDA21Z室内机,常规仓,1.0,1.0
KFRD-72N/DDAF21ZCU1室内机,常规仓,5.0,5.0
KFRD-72W/6521ZC室外机,常规仓,5.0,5.0
KFRD110-50W/Bp5Ⅱ,常规仓,1.0,1.0
KFRD70-32W-SE外机,常规仓,4.0,4.0
KFRd-100L/BAC22SU1(茉莉白)室内机,常规仓,1.0,1.0
KFRd-100L/DF82U1室内机,常规仓,11.0,11.0
KFRd-100W/5222S(茉莉白)室外机,常规仓,1.0,1.0
KFRd-100W/5222S室外机,常规仓,1.0,1.0
KFRd-100W/582室外机,常规仓,11.0,11.0
KFRd-120L/AF81室内机,常规仓,8.0,8.0
KFRd-120L/AF82内机,常规仓,9.0,9.0
KFRd-120L/BAC13室内机,常规仓,3.0,3.0
KFRd-120L/BCC13ST室内机,常规仓,2.0,2.0
KFRd-120L/BDC82S室内机,常规仓,1.0,1.0
KFRd-120L/TF82T室内机,常规仓,15.0,15.0
KFRd-120LW/5YAF82,金融仓,90.0,90.0
KFRd-120LW/5YTF82T,金融仓,50.0,50.0
KFRd-120Q/AC81内机,常规仓,13.0,13.0
KFRd-120Q/AC82内机,常规仓,11.0,11.0
KFRd-120Q/BAH13ST室内机,常规仓,3.0,3.0
KFRd-120Q/BBH13ST室内机,常规仓,7.0,7.0
KFRd-120Q/DAH13室内机,常规仓,3.0,3.0
KFRd-120Q/DAH22室内机,常规仓,8.0,8.0
KFRd-120Q/DDH82S室内机,常规仓,8.0,8.0
KFRd-120Q/TD82T室内机,常规仓,11.0,11.0
KFRd-120W/2222室外机,常规仓,11.0,11.0
KFRd-120W/5013ST室外机,常规仓,16.0,16.0
KFRd-120W/5013室外机,常规仓,4.0,4.0
KFRd-120W/5022室外机,常规仓,2.0,2.0
KFRd-120W/5182S室外机,常规仓,5.0,5.0
KFRd-120W/5Y82T室外机,常规仓,27.0,27.0
KFRd-120W/5Y82外机,常规仓,24.0,24.0
KFRd-120W/7013ST室外机,常规仓,2.0,2.0
KFRd-120W/7Y81室外机,常规仓,22.0,22.0
KFRd-125W/2113室外机,常规仓,1.0,1.0
KFRd-125W/6022室外机,常规仓,3.0,3.0
KFRd-150E/KAH22室内机,常规仓,59.0,59.0
KFRd-150W/6022室外机,常规仓,58.0,58.0
KFRd-35N/EAA81U1室内机,常规仓,1.0,1.0
KFRd-35N/EB81U1室内机,常规仓,10.0,10.0
KFRd-35N/ECA81A室内机,常规仓,5.0,5.0
KFRd-35N/ED81TU1室内机,常规仓,10.0,10.0
KFRd-35W/7081室外机,常规仓,1.0,1.0
KFRd-35W/7281A室外机,常规仓,5.0,5.0
KFRd-35W/7381T室外机,常规仓,10.0,10.0
KFRd-35W/7881室外机,常规仓,10.0,10.0
KFRd-36N/DBA21Z室内机,常规仓,4.0,4.0
KFRd-36N/GBA22室内机,常规仓,7.0,7.0
KFRd-36W/6121Z室外机,常规仓,4.0,4.0
KFRd-36W/6122ST室外机,常规仓,1.0,1.0
KFRd-50N/DCA83室内机,常规仓,6.0,6.0
KFRd-50N/EB81U1室内机,常规仓,10.0,10.0
KFRd-50N/EBA81U1室内机,常规仓,4.0,4.0
KFRd-50Q/AB82A室内机,常规仓,14.0,14.0
KFRd-50W/182A室外机,常规仓,14.0,14.0
KFRd-50W/2113室外机,常规仓,1.0,1.0
KFRd-50W/7181室外机,常规仓,2.0,2.0
KFRd-50W/7183室外机,常规仓,6.0,6.0
KFRd-50W/7881室外机,常规仓,10.0,10.0
KFRd-52W/6222ST室外机,常规仓,1.0,1.0
KFRd-72N/DDA22室内机,常规仓,1.0,1.0
KFRd-72N/DDA83室内机,常规仓,9.0,9.0
KFRd-72N/ECA81U1室内机,常规仓,33.0,33.0
KFRd-72N/ED81TU1内机,常规仓,16.0,16.0
KFRd-72N/EF81内机,常规仓,24.0,24.0
KFRd-72N/GDA22室内机,常规仓,16.0,16.0
KFRd-72Q/AB81室内机,常规仓,8.0,8.0
KFRd-72Q/BBH13ST室内机,常规仓,2.0,2.0
KFRd-72W/2112ST室外机,常规仓,1.0,1.0
KFRd-72W/2322室外机,常规仓,1.0,1.0
KFRd-72W/481室外机,常规仓,8.0,8.0
KFRd-72W/6013ST室外机,常规仓,1.0,1.0
KFRd-72W/6113ST室外机,常规仓,1.0,1.0
KFRd-72W/6422ST室外机,常规仓,14.0,14.0
KFRd-72W/6622室外机,常规仓,1.0,1.0
KFRd-72W/7281室外机,常规仓,30.0,30.0
KFRd-72W/7283室外机,常规仓,9.0,9.0
KFRd-72W/7381T外机,常规仓,18.0,18.0
KFRd-72W/7581外机,常规仓,25.0,25.0
KFRd-75Q/AB82室内机,常规仓,12.0,12.0
KFRd-75Q/TB82T室内机,常规仓,60.0,60.0
KFRd-75W/482T室外机,常规仓,60.0,60.0
KFRd-75W/482室外机,常规仓,12.0,12.0
KFRd-86N/EZ81TU1室内机,常规仓,13.0,13.0
KFRd-86W/7481T室外机,常规仓,13.0,13.0
KFRd-90N/EG81U1室内机,常规仓,7.0,7.0
KFRd-90W/7681室外机,常规仓,6.0,6.0
KFRd60-30W/11013室外机总成,常规仓,1.0,1.0
KFRd99-45W/11013室外机,常规仓,1.0,1.0
KG15/80-AE3-U1,常规仓,5.0,5.0
KSX-200(60)WB,常规仓,1.0,1.0
KSX-80HCII,常规仓,1.0,1.0
KSXD-150(70)WB,常规仓,2.0,2.0
KSXD-200(70)/DE5室内机,常规仓,1.0,1.0
KSXD-200(70)/WS-E内机,常规仓,4.0,4.0
KSXD-200（75）/WKE室内机,常规仓,2.0,2.0
KSXD-300(110)/WA5Ⅱ,常规仓,1.0,1.0
KT-NP01水泵电机总成(外置),常规仓,3.0,3.0
KX-B-700LA,常规仓,47.0,47.0
L1PB20-CL1(T)U1,常规仓,1.0,1.0
L1PB20-HC07(T)U1,常规仓,5.0,5.0
L1PB20-HC1(T),常规仓,1.0,1.0
L1PB20-HT1(T),常规仓,1.0,1.0
L1PB20-LC1(T)U1,常规仓,61.0,61.0
L1PB20-LC5(T)U1单机,常规仓,40.0,40.0
L1PB26-LC5(T)U1单机,常规仓,68.0,68.0
L1PB35-HC1(T),常规仓,1.0,1.0
LC-220JE,金融仓,3.0,3.0
LC-251WLCDFM1U1,金融仓,24.0,24.0
LEC5001-HM3新,常规仓,6.0,6.0
LEC5TE,常规仓,7.0,7.0
LEC5TP,常规仓,2.0,2.0
LEC6.6TE,常规仓,5.0,5.0
LEC6001-HM3新,常规仓,10.0,10.0
LEC6001-LD5,常规仓,1.0,1.0
LEC6003-L3(E)U1,常规仓,8.0,8.0
LEC8001-HM3新,常规仓,5.0,5.0
LEC80H-M1,常规仓,26.0,26.0
LES50H-LK5(1),常规仓,7.0,7.0
LES50H-PLV5,常规仓,1.0,1.0
LES6.6GT蓝,常规仓,8.0,8.0
LES60H-DL1(3E)U1,常规仓,1.0,1.0
LES60H-DL3(E)U1,常规仓,1.0,1.0
LES60H-LK5(1),常规仓,9.0,9.0
LES60H-LT,常规仓,1.0,1.0
LES60H-PB3(2)U1,常规仓,1.0,1.0
LES80H-PB3(2)U1,常规仓,1.0,1.0
LES80H-PLV5,常规仓,4.0,4.0
LGR101-B,常规仓,4.0,4.0
LHPA-1.0GU1室外机,常规仓,4.0,4.0
LK40/160-C-D,常规仓,1.0,1.0
LKF200-MA7U1(N)室内机,常规仓,2.0,2.0
LKF63-Q5E7(W)外机,常规仓,3.0,3.0
LKF63/200-Q5E7AU1(N),常规仓,1.0,1.0
LKF75/200-G1-DU1室内机,常规仓,10.0,10.0
LKF75/200-G1-DU1室外机,常规仓,2.0,2.0
LKFRd60-A9-D-U1,常规仓,1.0,1.0
LKFRd60-A9-D-U1(LP),常规仓,2.0,2.0
LKFRd75-30WⅡ(LP)外机,常规仓,1.0,1.0
LKFRd75-30WⅡ室外机,常规仓,4.0,4.0
LKSXD-200(60)/A9-D-U1,常规仓,1.0,1.0
LKSXD-200(60)/A9-D-U1(LP),常规仓,1.0,1.0
LKSXD-200(75)/WBⅡ室内机,常规仓,7.0,7.0
LL1PBD20-PN3(T)U1,常规仓,6.0,6.0
LS-A3银(3DSX),常规仓,3.0,3.0
LTD-435WL9U1,顺丰仓,92.0,92.0
LTR1,常规仓,18.0,18.0
LTW6328NLU1,常规仓,1.0,1.0
LXS200-1.0GU1室内机,常规仓,14.0,14.0
MBM30-268W,常规仓,1.0,1.0
MKLS6U1,常规仓,1.0,1.0
MS100-BZ578H,金融仓,5.0,5.0
MZ-9WLLSDZ0PPU1,常规仓,17.0,17.0
N11单抽晶钻黛玻璃门体,常规仓,1.0,1.0
REF70-34W/L3(W)室外机,常规仓,8.0,8.0
REF80-37W/L5W室外机总成,常规仓,9.0,9.0
REJ-02遥控信号接收窗,常规仓,4.0,4.0
RESX-200(70)/L3(N)室内机,常规仓,12.0,12.0
RESX-200(80)/L5S室内机总成,常规仓,9.0,9.0
RFC100MXA1VA,常规仓,2.0,2.0
RFC100MXSA1VA,金融仓,10.0,10.0
RFC120CXSJ1VDUF,常规仓,1.0,1.0
RFC120CXSJVC(XH),常规仓,6.0,6.0
RFC120DXSAYA外机,常规仓,3.0,3.0
RFC125MXSAVD(G),常规仓,12.0,12.0
RFC125STSJVA,常规仓,2.0,2.0
RFC140CXSJVB,常规仓,1.0,1.0
RFC140CXSJVC(XH),常规仓,10.0,10.0
RFC140CXSJVC(YH),常规仓,2.0,2.0
RFC140MXSAVB,常规仓,4.0,4.0
RFC140MXSAVD(F),常规仓,4.0,4.0
RFC140MXSAVD(G),常规仓,4.0,4.0
RFC160CXSJVC(XH),常规仓,7.0,7.0
RFC160MXSAVC(P),常规仓,1.0,1.0
RFC160MXSAVD(F)Pro,常规仓,1.0,1.0
RFC160MXSAVD(G),常规仓,1.0,1.0
RFC180MXSAVD(G),常规仓,1.0,1.0
RFC226CXSJVC(YH),常规仓,1.0,1.0
RFC226MXSAYN,常规仓,1.0,1.0
RFC280DXSAYC(G)室外机,常规仓,2.0,2.0
RFC350CXSJ2YS,常规仓,2.0,2.0
RFC72DXSAVA(G),常规仓,7.0,7.0
RFC80DXA,常规仓,1.0,1.0
RFLD280MXA(G)室内机,常规仓,1.0,1.0
RFT100MXD,常规仓,4.0,4.0
RFT125MXD,常规仓,4.0,4.0
RFT25MXE,常规仓,2.0,2.0
RFT36MXE,常规仓,4.0,4.0
RFT45MXE,常规仓,2.0,2.0
RFT50MXE,常规仓,3.0,3.0
RFT56MXE,常规仓,2.0,2.0
RFTD125MXA室内机,常规仓,12.0,12.0
RFTN18CXS,常规仓,1.0,1.0
RFTN28CXS-KU1室内机,常规仓,7.0,7.0
RFTN28MXS-K,常规仓,4.0,4.0
RFTS100CXS-D1U1,常规仓,1.0,1.0
RFTS18CXS-D1U1,常规仓,4.0,4.0
RFTS22CXS-C,常规仓,2.0,2.0
RFTS22CXS-D(YH),常规仓,4.0,4.0
RFTS22CXS-D1U1,常规仓,8.0,8.0
RFTS22MXS-D2,常规仓,6.0,6.0
RFTS25CXS-C,常规仓,2.0,2.0
RFTS25CXS-D(YH),常规仓,4.0,4.0
RFTS25CXS-D1U1,常规仓,8.0,8.0
RFTS25MXS-D2,常规仓,4.0,4.0
RFTS28CXS-C,常规仓,1.0,1.0
RFTS28CXS-D(YH）,常规仓,5.0,5.0
RFTS28CXS-D1U1,常规仓,10.0,10.0
RFTS32CXS-D1U1,常规仓,6.0,6.0
RFTS32MXS-D2,常规仓,4.0,4.0
RFTS36CXS-D1U1,常规仓,11.0,11.0
RFTS40CX-D(互联工厂）,常规仓,2.0,2.0
RFTS40CXS-D(YH）,常规仓,7.0,7.0
RFTS40CXS-D1U1,常规仓,6.0,6.0
RFTS40MXS-D2,常规仓,4.0,4.0
RFTS45CX-D(互联工厂）,常规仓,2.0,2.0
RFTS45CXS-D(YH),常规仓,6.0,6.0
RFTS45CXS-D1U1,常规仓,6.0,6.0
RFTS50CXS-D(YH),常规仓,8.0,8.0
RFTS50CXS-D1U1,常规仓,9.0,9.0
RFTS56CX-D(互联工厂）,常规仓,2.0,2.0
RFTS56CXS-D(XH）U1,常规仓,7.0,7.0
RFTS56CXS-D1U1,常规仓,6.0,6.0
RFTS56CXS-F1U1,常规仓,1.0,1.0
RFTS63CXS-C,常规仓,1.0,1.0
RFTS63CXS-D(XH）U1,常规仓,10.0,10.0
RFTS63CXS-D(YH),常规仓,6.0,6.0
RFTS63CXS-D1U1,常规仓,4.0,4.0
RFTS63MXS-D1,常规仓,1.0,1.0
RFTS63MXS-D2,常规仓,4.0,4.0
RFTS71CX-D(互联工厂),常规仓,2.0,2.0
RFTS71CXS-C,常规仓,1.0,1.0
RFTS71CXS-D1U1,常规仓,7.0,7.0
RFTS71MXS-D2,常规仓,8.0,8.0
