规格名称,仓库类型,合计数量,到仓位数量
BCD-502WLLTD5DM2U1,常规仓,1.0,1.0
BCD-503WGHFD14WWU1,常规仓,6.0,1.0
BCD-503WGHFD14WWU1,金融仓,6.0,5.0
BCD-505WGCFDA4ARU1,金融仓,6.0,6.0
BCD-505WGCFDA4YBU1,常规仓,1.0,1.0
BCD-506WGHTD14WWU1,常规仓,1.0,1.0
BCD-506WGHTD14WYU1,常规仓,1.0,1.0
BCD-507WGCTDM4GJU1,金融仓,5.0,5.0
BCD-509WGHFD7DS9U1,常规仓,32.0,1.0
BCD-509WGHFD7DS9U1,顺丰仓,32.0,31.0
BCD-509WGHTD1BY6U1,金融仓,10.0,10.0
BCD-512WGHMD1BY6U1,金融仓,4.0,4.0
BCD-515WGHFD1BY5U1,常规仓,1.0,1.0
BCD-515WGHFD1BY6U1,金融仓,14.0,14.0
BCD-515WGHSSB5GSU1,金融仓,5.0,5.0
BCD-518WGHFD2BGCU1,金融仓,8.0,8.0
BCD-518WGHTD1BGNU1,金融仓,3.0,3.0
BCD-520WGCFDM4G6U1,金融仓,20.0,20.0
BCD-520WGCTDM4CNU1,金融仓,5.0,5.0
BCD-520WLCFPAFDRU1,常规仓,1.0,1.0
BCD-520WLCFPAFVAU1,常规仓,1.0,1.0
BCD-520WLCFPM4WKU1,常规仓,1.0,1.0
BCD-533WGCFDAGESU1,金融仓,13.0,13.0
BCD-539WGLSSEDW9U1,常规仓,1.0,1.0
BCD-540WGCTDM7WHU1,常规仓,52.0,2.0
BCD-540WGCTDM7WHU1,金融仓,52.0,50.0
BCD-540WGCTDM7WHU1(棕),金融仓,20.0,20.0
BCD-550WGCFDM4S5U1,常规仓,16.0,3.0
BCD-550WGCFDM4S5U1,金融仓,16.0,13.0
BCD-550WGCFDM4WHU1,金融仓,220.0,220.0
BCD-550WGCFDM4WHU1(棕),常规仓,6.0,1.0
BCD-550WGCFDM4WHU1(棕),金融仓,6.0,5.0
BCD-550WLCFPA4W5U1,金融仓,35.0,35.0
BCD-550WLCFPA4WFU1,常规仓,11.0,2.0
BCD-550WLCFPA4WFU1,金融仓,11.0,9.0
BCD-550WLCFPA4ZFU1,金融仓,1.0,1.0
BCD-551WLCTDAFA5U1,常规仓,2.0,2.0
BCD-552WLCTDA4SCU1(Pro),金融仓,3.0,3.0
BCD-553WGHFD14SGU1,常规仓,1.0,1.0
BCD-570WGCFDM4ZHU1,金融仓,63.0,63.0
BCD-600WGCFDM4DBU1,常规仓,28.0,1.0
BCD-600WGCFDM4DBU1,金融仓,28.0,27.0
BCD-601WGCTDA4DLU1,金融仓,41.0,41.0
BCD-610WLCTDAGSCU1(Pro),金融仓,3.0,3.0
BCD-620WGHSSEDWV,常规仓,36.0,36.0
BCD-623WLHTD2BGWU1,金融仓,44.0,44.0
BCD-625WLHTD2BB6U1,金融仓,2.0,2.0
BCD-633WDCHU1,常规仓,2.0,2.0
BCD-633WLCFDA4ARU1,金融仓,10.0,10.0
BCD-633WLCFDMFVAU1,常规仓,3.0,3.0
BCD-647WLCTD79DYU1,常规仓,1.0,1.0
BCD-650WGCTDM7S3U1,常规仓,1.0,1.0
BCD-88GHTMZ0WV,顺丰仓,102.0,102.0
BD-138W,常规仓,25.0,25.0
BD-150LH9EP9,常规仓,55.0,55.0
BD-152WGHS9B8,常规仓,92.0,92.0
BD-180WGHSF,常规仓,1.0,1.0
BD-192WEGL,常规仓,4.0,4.0
BD-210WGHS9,金融仓,3.0,3.0
BD-331WEGAU1,常规仓,15.0,1.0
BD-331WEGAU1,金融仓,15.0,14.0
BJ0XV3000AA,云仓,1.0,1.0
BL0732000,云仓,1.0,1.0
BU0J73000,云仓,1.0,1.0
C1 D10LJ7ELU1,常规仓,120.0,1.0
C1 D10LJ7ELU1,金融仓,120.0,119.0
C1 D10LZ7ELU1,金融仓,66.0,66.0
C1 D10S7ELU1,常规仓,1.0,1.0
C1 D10W5ELU1,常规仓,2.0,2.0
C1 DN12L7ELU1,常规仓,3.0,3.0
C1 HD10LZ6CLU1,常规仓,1.0,1.0
C1 HD10W3EU1,常规仓,1.0,1.0
C1 HDN12L7ELLU1,常规仓,2.0,1.0
C1 HDN12L7ELLU1,金融仓,2.0,1.0
C3 3W1U1,常规仓,26.0,1.0
C3 3W1U1,金融仓,26.0,25.0
C5O60CGU1,常规仓,10.0,10.0
C5O60DGU1,常规仓,2.0,2.0
C7O46CGU1,常规仓,10.0,10.0
C7O60CGU1,常规仓,1.0,1.0
C8 14W2SU1,常规仓,1.0,1.0
C8 D14L6U1,常规仓,3.0,3.0
C8 HDN14L5EU1,常规仓,3.0,3.0
C8 HDV13L6U1,常规仓,1.0,1.0
C8 U12G3,常规仓,2.0,2.0
C809 100MSU1,常规仓,1.0,1.0
C9 Y13BL13L2CU1,常规仓,1.0,1.0
C9 Y13BL13W2ESU1,常规仓,5.0,5.0
C9 YF12BL12L2EU1,金融仓,20.0,20.0
C9 YF12BL12W2EU1,常规仓,4.0,4.0
CAN3580(81)室外机,常规仓,8.0,8.0
CAN35EAF(81)U1室内机,常规仓,8.0,8.0
CAN35ED(81)U1室内机,常规仓,6.0,6.0
CAN5081(81)外机,常规仓,7.0,7.0
CAN50EBF(81)U1内机,常规仓,7.0,7.0
CAN7582(81)室外机,常规仓,6.0,6.0
CAN75ECF(81)U1室内机,常规仓,6.0,6.0
CAN75ED(81)U1内机,常规仓,4.0,4.0
CAN90ED(81)U1室内机,常规仓,12.0,12.0
CAP502(A1)室外机总成,常规仓,1.0,1.0
CAP507(81)室外机总成,常规仓,9.0,9.0
CAP508(81)室外机总成,常规仓,2.0,2.0
CAP509(A1)室外机,常规仓,1.0,1.0
CAP50GDA(81)U1室内机,常规仓,1.0,1.0
CAP50UBA(A1)室内机,常规仓,1.0,1.0
CAP50UDA(81)U1室内机,常规仓,1.0,1.0
CAP50UDA(A1)U1室内机,常规仓,1.0,1.0
CAP50YAA(A1)U1室内机,常规仓,1.0,1.0
CAP50YAB(81)U1室内机,常规仓,9.0,9.0
CAP563(A1)室外机,常规仓,2.0,2.0
CAP56VCA(A1)U1室内机,常规仓,2.0,2.0
CAP56WDA(A1)U1室内机,常规仓,1.0,1.0
CAP721(81)室外机,常规仓,3.0,3.0
CAP7210(81)室外机,常规仓,1.0,1.0
CAP723(81)室外机,常规仓,10.0,10.0
CAP725(A1)室外机,常规仓,1.0,1.0
CAP729(A1)室外机,常规仓,1.0,1.0
CAP72BAB(81)VU1室内机总成,常规仓,1.0,1.0
CAP72UBAB(81)VU1室内机,常规仓,1.0,1.0
CAP72UCA(81)U1室内机,常规仓,2.0,2.0
CAP72WDA(81)U1室内机,常规仓,2.0,2.0
CAP72WDA(A1)U1室内机,常规仓,1.0,1.0
CAP72WFA(81)U1室内机,常规仓,8.0,8.0
CAS261(A1)室外机,常规仓,1.0,1.0
CAS268(81)室外机,常规仓,2.0,2.0
CAS268(A1)室外机,常规仓,2.0,2.0
CAS269(81)室外机,常规仓,1.0,1.0
CAS26GDA(81)U1室内机,常规仓,2.0,2.0
CAS26UDA(A1)U1室内机,常规仓,2.0,2.0
CAS26YAA(81)U1室内机,常规仓,1.0,1.0
CAS351(A1)室外机,常规仓,1.0,1.0
CAS3515(81)室外机,常规仓,1.0,1.0
CAS3520WKA(81)VU1套机,金融仓,10.0,10.0
CAS3521GCD(81)U1套机,金融仓,20.0,20.0
CAS3525(81)室外机,常规仓,1.0,1.0
CAS353(81)室外机,常规仓,18.0,18.0
CAS358(81)室外机,常规仓,6.0,6.0
CAS358(A1)室外机,常规仓,1.0,1.0
CAS359(81)室外机,常规仓,4.0,4.0
CAS35GEA(81)U1室内机,常规仓,1.0,1.0
CAS35UBA(A1)室外机,常规仓,1.0,1.0
CAS35UDA(81)U1室内机,常规仓,1.0,1.0
CAS35UDA(A1)U1室内机,常规仓,1.0,1.0
CAS35URA(81)VU1室内机,常规仓,1.0,1.0
CAS35WFA(81)U1室内机,常规仓,18.0,18.0
CAS362(A1)室外机,常规仓,1.0,1.0
CAS501(81)室外机,常规仓,1.0,1.0
CAS5016(81)室外机总成,常规仓,1.0,1.0
CAS5018(81)室外机,常规仓,2.0,2.0
CAS502(82) 室外机,常规仓,1.0,1.0
CAS50BAB(81)U1室内机总成,常规仓,1.0,1.0
CAS50VCA(82)U1室内机,常规仓,1.0,1.0
CAS50ZDA(81)VU1室内机,常规仓,2.0,2.0
CAW3583(81)室外机,常规仓,6.0,6.0
CAW7583(81)外机,常规仓,4.0,4.0
CAW9083(81)室外机,常规仓,12.0,12.0
CB B3EDUHBU1,常规仓,1.0,1.0
CB B3WEUWBU1,金融仓,45.0,45.0
CB0MUFB00,云仓,1885.0,1885.0
CB0N30002,云仓,2.0,2.0
CCTOKH-13Y-JM01,常规仓,63.0,63.0
CE AB13LWTBHKU1,金融仓,89.0,89.0
CE B10LWDBHAU1,金融仓,355.0,355.0
CE B10LWDUBHKU1,金融仓,53.0,53.0
CE B10LWDUBLKU1,金融仓,23.0,23.0
