品类,型号,库位,数量
107,BCD-533WGCFDAGESU1,上海,20.0
108,BCD-625WLHTD2BB6U1,上海,1.0
109,BCD-625WLHTD2BB6U1,上海,1.0
110,BCD-501WGCTDM4WKU1,上海,1.0
111,BCD-623WLHTD2BGWU1,上海,1.0
112,BCD-623WLHTD2BGWU1,上海,1.0
113,BCD-550WLCFPA4ZFU1,上海,1.0
114,BCD-512WGHMD1BY6U1,上海,1.0
115,BCD-550WLCFPA4WFU1,上海,1.0
116,BCD-633WLCFDA4ARU1,上海,1.0
117,BCD-518WGHFD2BGCU1,上海,1.0
118,BCD-518WGHFD2BGCU1,上海,1.0
119,BCD-400WLCI3M4WKU1,上海,1.0
120,BCD-400WLCI3M4WKU1,上海,1.0
121,BCD-518WGHFD2BGCU1,上海,1.0
122,BCD-512WGHMD1BY6U1,上海,1.0
123,BCD-512WGHMD1BY6U1,上海,1.0
124,BCD-512WGHMD1BY6U1,上海,1.0
125,BCD-610WLCTDAGSCU1(Pro),上海,1.0
126,BCD-400WLCI3M4WKU1,上海,1.0
127,BCD-400WLCI3M4WKU1,上海,1.0
128,BCD-505WGCFDA4ARU1,上海,1.0
129,BCD-400WLCD3M4G3U1,上海,1.0
130,BCD-501WGCTDM4WKU1,上海,1.0
131,BCD-400WLCD3M4G3U1,上海,1.0
132,BCD-501WGCTDM4WKU1,上海,1.0
133,BCD-507WGCTDM4S3U1,上海,60.0
134,BCD-520WGCTDM4CNU1,上海,15.0
135,KFR-26GW/B0MCA81套机,上海,24.0
136,KFR-50GW/24PAA81U1套机,上海,45.0
137,KFR-50GW/24PAA81U1套机,上海,50.0
138,BCD-507WGCTDM4S3U1,上海,148.0
139,K100M50,上海,2.0
140,CAS3521GCD(81)U1套机,上海,20.0
141,CE B10LWDBHAU1,上海,40.0
142,CZ B10LWS10YTBWCU1,上海,10.0
143,BCD-400WLCI3M4WKU1,上海,6.0
144,BCD-400WLCI3M4WKU1,上海,6.0
145,BCD-501WGCTDM4WKU1,上海,6.0
146,BCD-501WGCTDM4WKU1,上海,6.0
147,CG S12YTFKLBU1,上海,20.0
148,BCD-501WGCTDM4WKU1,上海,6.0
149,G100568BD12S,上海,30.0
150,BCD-501WGCTDM4WKU1,上海,6.0
151,BCD-501WGCTDM4WKU1,上海,6.0
152,BCD-601WGCTDA4DLU1,上海,1.0
153,CG S10TGWAU1,上海,50.0
154,CE B12LWDUKLBU1,上海,30.0
155,CG S12YTFKLBU1,上海,10.0
156,CGS 10FLJ7EU1,上海,80.0
157,EC6002-PT5U1,上海,70.0
158,EC6002-PT5U1,上海,100.0
159,EC6002-PT5U1,上海,100.0
160,EC6002-PT5U1,上海,50.0
161,EC6002-PT5U1,上海,100.0
162,EC6002-PT5U1,上海,400.0
163,EC6002-PT5U1,上海,400.0
164,BCD-601WGCTDA4DLU1,上海,10.0
165,BCD-550WLCFPA4WFU1,上海,10.0
